╧;мЮХЛЕМНБЮМХЕ;цНД;бНГПЮЯР ЙНЛОЮМХХ, КЕР;яРЮРСЯ;нПЦЮМХГЮЖХНММН-ОПЮБНБЮЪ ТНПЛЮ;тНПЛЮ ЯНАЯРБЕММНЯРХ;нАНПНРМШЕ ЮЙРХБШ, RUB;юЙРХБШ  БЯЕЦН, RUB;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ), RUB;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;яНБНЙСОМШИ ДНКЦ, RUB;бШПСВЙЮ, RUB;йНЩТТХЖХЕМР НАНПЮВХБЮЕЛНЯРХ ЯНБНЙСОМШУ ЮЙРХБНБ, %;нАНПНРМШЕ ЮЙРХБШ МЮ ЕДХМХЖС ЮЙРХБНБ;юЙРХБШ  БЯЕЦН МЮ ЕДХМХЖС ЮЙРХБНБ;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ) МЮ ЕДХМХЖС ЮЙРХБНБ;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;яНБНЙСОМШИ ДНКЦ МЮ ЕДХМХЖС ЮЙРХБНБ;бШПСВЙЮ МЮ ЕДХМХЖС ЮЙРХБНБ;цНЯ ЯНАЯРБЕММНЯРЭ;вЮЯРХВМЮЪ;вЮЯРМЮЪ;юн;цНЯ ЯНАЯРБЕММНЯРЭ;яЕКЭЯЙНЕ УНГБН;мЕЙНЛ;йННОЕПЮРХБШ;ннн
1 931;юй осьйхм уюся, ннн;19,00;4,50;0,00;5,00;0,00;53000,00;53000,00;-1638000,00;500000,00;1191000,00;1691000,00;1085000,00;1,26;1,00;1,00;-30,91;9,43;22,47;31,91;20,47;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 932;юйбю яопхмц, ннн;19,00;24,50;0,00;5,00;0,00;27097000,00;53797000,00;41424000,00;7057000,00;4688000,00;11745000,00;56229000,00;1,05;0,50;1,00;0,77;0,13;0,09;0,22;1,05;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 933;юйбю рпеид, ннн;19,00;10,00;0,00;5,00;0,00;9945000,00;11747000,00;701000,00;6918000,00;4113000,00;11031000,00;9978000,00;0,90;0,85;1,00;0,06;0,59;0,35;0,94;0,85;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 934;юйбю-рпеид, ннн;19,00;13,00;0,00;5,00;0,00;7472000,00;14570000,00;2518000,00;6000000,00;1218000,00;7218000,00;21790000,00;1,44;0,51;1,00;0,17;0,41;0,08;0,50;1,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 935;юйбютеплю юярюонбн, ннн;19,00;5,00;0,00;5,00;0,00;6035000,00;16195000,00;1848000,00;13119000,00;228000,00;13347000,00;2390000,00;0,15;0,37;1,00;0,11;0,81;0,01;0,82;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 936;юйбхкнм, ннн;19,00;8,00;0,00;5,00;0,00;2833076000,00;4575458000,00;213886000,00;1616717000,00;2743855000,00;4360572000,00;7566104000,00;1,68;0,62;1,00;0,05;0,35;0,60;0,95;1,65;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 937;юйкг, ннн;19,00;9,50;0,00;5,00;0,00;9545000,00;9610000,00;;7921000,00;487000,00;8408000,00;14681000,00;1,64;0,99;1,00;0,00;0,82;0,05;0,87;1,53;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 938;юйн гепмн, ннн;19,00;18,00;0,00;5,00;0,00;37609000,00;45103000,00;37303000,00;6713000,00;1077000,00;7790000,00;10172000,00;0,24;0,83;1,00;0,83;0,15;0,02;0,17;0,23;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 939;юйрхб йнлтнпр, ннн;19,00;9,00;0,00;5,00;0,00;173000,00;173000,00;80000,00;48000,00;35000,00;83000,00;1979000,00;19,89;1,00;1,00;0,46;0,28;0,20;0,48;11,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 940;юк╗мсьйю, ннн;19,00;2,50;0,00;5,00;0,00;523000,00;523000,00;100000,00;219000,00;194000,00;413000,00;2531000,00;4,07;1,00;1,00;0,19;0,42;0,37;0,79;4,84;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 941;юкюасцяйне яекэон;19,00;29,00;0,00;3,00;0,00;8710000,00;9097000,00;555000,00;106000,00;1372000,00;1478000,00;53124000,00;5,82;0,96;1,00;0,06;0,01;0,15;0,16;5,84;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
1 942;юкюбеярю цпсоо, ннн;19,00;3,50;0,00;5,00;0,00;;10000,00;;;;;;;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 943;юкюм, ннн;19,00;15,50;0,00;5,00;0,00;70755000,00;73705000,00;;;17722000,00;17722000,00;410149000,00;5,68;0,96;1,00;0,00;0,00;0,24;0,24;5,56;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 944;юкцю, ннн;19,00;28,00;0,00;5,00;0,00;7975000,00;10492000,00;10342000,00;;133000,00;133000,00;9211000,00;0,90;0,76;1,00;0,99;0,00;0,01;0,01;0,88;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 945;юкейн, йпеярэъмяйне (теплепяйне) унгъиярбн;19,00;28,00;0,00;2,00;0,00;16215000,00;43686000,00;;5700000,00;114000,00;5814000,00;61404000,00;1,46;0,37;1,00;0,00;0,13;0,00;0,13;1,41;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
1 946;юкейяюмдпнбяйне, ннн юой;19,00;17,50;0,00;5,00;0,00;220165000,00;448431000,00;144900000,00;38042000,00;68489000,00;106531000,00;253822000,00;0,54;0,49;1,00;0,32;0,08;0,15;0,24;0,57;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 947;юкейян, йу;19,00;29,00;0,00;2,00;0,00;24116000,00;102517000,00;44581000,00;50370000,00;6953000,00;57323000,00;145558000,00;1,77;0,24;1,00;0,43;0,49;0,07;0,56;1,42;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
1 948;юкелюебяйне, ннн;19,00;12,50;0,00;5,00;0,00;17719000,00;21824000,00;9649000,00;4444000,00;7721000,00;12165000,00;6112000,00;0,32;0,81;1,00;0,44;0,20;0,35;0,56;0,28;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 949;юкхдюдю, ннн;19,00;29,00;0,00;5,00;0,00;8936000,00;9353000,00;6512000,00;832000,00;1779000,00;2611000,00;2133000,00;0,24;0,96;1,00;0,70;0,09;0,19;0,28;0,23;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 950;юкхярюп юцпн, ннн;19,00;4,00;0,00;5,00;0,00;1151000,00;1151000,00;-54000,00;;1180000,00;1180000,00;;;1,00;1,00;-0,05;0,00;1,03;1,03;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 951;юккхцюрнп, ннн;19,00;3,50;0,00;5,00;0,00;36659000,00;38631000,00;4266000,00;16116000,00;18239000,00;34355000,00;83804000,00;2,47;0,95;1,00;0,11;0,42;0,47;0,89;2,17;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 952;юклюй, юн;19,00;28,00;0,00;0,00;0,00;107248000,00;134083000,00;36168000,00;940000,00;75413000,00;76353000,00;373902000,00;3,21;0,80;1,00;0,27;0,01;0,56;0,57;2,79;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
1 953;юклхй, ннн;19,00;16,00;0,00;5,00;0,00;962000,00;1988000,00;543000,00;479000,00;946000,00;1425000,00;9419000,00;4,36;0,48;1,00;0,27;0,24;0,48;0,72;4,74;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 954;юкрюи псмн, ннн;19,00;3,00;0,00;5,00;0,00;1994000,00;6050000,00;1232000,00;2681000,00;2127000,00;4808000,00;1318000,00;0,23;0,33;1,00;0,20;0,44;0,35;0,79;0,22;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 955;юкрюиюцпняепбхя, ннн;19,00;16,00;0,00;5,00;0,00;48774000,00;102230000,00;89308000,00;5195000,00;7717000,00;12912000,00;41417000,00;0,44;0,48;1,00;0,87;0,05;0,08;0,13;0,41;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 956;юкэрю дейнпн, ннн;19,00;5,50;0,00;5,00;0,00;3784000,00;3784000,00;-5852000,00;;9624000,00;9624000,00;3408000,00;0,96;1,00;1,00;-1,55;0,00;2,54;2,54;0,90;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 957;юкэрюхп, ннн;19,00;6,00;0,00;5,00;0,00;743069000,00;909083000,00;15083000,00;245000000,00;648990000,00;893990000,00;1730157000,00;2,50;0,82;1,00;0,02;0,27;0,71;0,98;1,90;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 958;юкэрепмюрхбю, ннн;19,00;14,00;0,00;5,00;0,00;24373000,00;50257000,00;41001000,00;9021000,00;215000,00;9236000,00;75502000,00;1,63;0,48;1,00;0,82;0,18;0,00;0,18;1,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 959;юкэрепмюрхбю-окчя, ннн;19,00;21,50;0,00;5,00;0,00;16225000,00;16236000,00;2328000,00;4900000,00;8998000,00;13898000,00;58040000,00;2,44;1,00;1,00;0,14;0,30;0,55;0,86;3,57;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 960;юкэтю, ннн;19,00;22,50;0,00;5,00;0,00;2689000,00;5469000,00;2458000,00;1200000,00;1272000,00;2472000,00;47259000,00;8,60;0,49;1,00;0,45;0,22;0,23;0,45;8,64;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 961;юкэтюопнт, ннн;19,00;6,50;0,00;5,00;0,00;432000,00;432000,00;262000,00;133000,00;27000,00;160000,00;7842000,00;21,81;1,00;1,00;0,61;0,31;0,06;0,37;18,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 962;юкэъмя опнейр, ннн;19,00;13,00;0,00;5,00;0,00;4800000,00;5426000,00;98000,00;5233000,00;75000,00;5308000,00;2665000,00;0,57;0,88;1,00;0,02;0,96;0,01;0,98;0,49;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 963;юкэъмя, ннн;19,00;6,00;0,00;5,00;0,00;1018306000,00;1032416000,00;89235000,00;537000,00;942634000,00;943171000,00;211316000,00;0,21;0,99;1,00;0,09;0,00;0,91;0,91;0,20;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 965;юлю, ннн;19,00;2,00;0,00;5,00;0,00;4140000,00;9721000,00;-3503000,00;3909000,00;9215000,00;13124000,00;;;0,43;1,00;-0,36;0,40;0,95;1,35;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 967;юлюгнм, ннн;19,00;22,50;0,00;5,00;0,00;11225000,00;11225000,00;9456000,00;;1569000,00;1569000,00;20944000,00;1,91;1,00;1,00;0,84;0,00;0,14;0,14;1,87;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 968;юлаеп-я, ннн;19,00;14,50;0,00;5,00;0,00;2034000,00;3210000,00;1335000,00;;1375000,00;1375000,00;21286000,00;6,66;0,63;1,00;0,42;0,00;0,43;0,43;6,63;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 969;юлецю, ннн;19,00;4,50;0,00;5,00;0,00;1958000,00;1958000,00;1480000,00;452000,00;16000,00;468000,00;581000,00;0,36;1,00;1,00;0,76;0,23;0,01;0,24;0,30;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 970;юлл, ннн;19,00;2,50;0,00;5,00;0,00;5051000,00;14743000,00;-8262000,00;10500000,00;12495000,00;22995000,00;19006000,00;2,07;0,34;1,00;-0,56;0,71;0,85;1,56;1,29;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 971;юлсп, юн лря;19,00;21,50;0,00;0,00;0,00;78098000,00;221844000,00;104365000,00;56583000,00;59649000,00;116232000,00;120563000,00;0,58;0,35;1,00;0,47;0,26;0,27;0,52;0,54;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
1 972;юлспкюгеп, ннн;19,00;13,00;0,00;5,00;0,00;30000,00;30000,00;-527000,00;537000,00;10000,00;547000,00;95000,00;0,11;1,00;1,00;-17,57;17,90;0,33;18,23;3,17;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 973;юлспяйюъ гюпъ, ннн;19,00;12,00;0,00;5,00;0,00;200792000,00;296866000,00;192982000,00;86613000,00;17251000,00;103864000,00;62408000,00;0,24;0,68;1,00;0,65;0,29;0,06;0,35;0,21;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 974;юлтхахъ, ннн;19,00;23,50;0,00;5,00;0,00;454000,00;595000,00;248000,00;;247000,00;247000,00;1292000,00;2,65;0,76;1,00;0,42;0,00;0,42;0,42;2,17;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 975;юмцекю, ннн;19,00;11,00;0,00;5,00;0,00;2527000,00;2527000,00;127000,00;;2350000,00;2350000,00;50821000,00;16,93;1,00;1,00;0,05;0,00;0,93;0,93;20,11;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 976;юмдпнмнбн, ннн;19,00;15,50;0,00;5,00;0,00;22786000,00;24855000,00;18204000,00;3330000,00;2717000,00;6047000,00;22720000,00;0,94;0,92;1,00;0,73;0,13;0,11;0,24;0,91;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 977;юммю тнпрсмю, ннн;19,00;8,50;0,00;5,00;0,00;10109000,00;10109000,00;3623000,00;2591000,00;3885000,00;6476000,00;34534000,00;4,45;1,00;1,00;0,36;0,26;0,38;0,64;3,42;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 978;юмо-цпсоо, ннн;19,00;7,00;0,00;5,00;0,00;2795000,00;8922000,00;-4072000,00;10366000,00;2618000,00;12984000,00;9035000,00;1,48;0,31;1,00;-0,46;1,16;0,29;1,46;1,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 979;юмреи-ярпнихмбеяр, ннн;19,00;5,00;0,00;5,00;0,00;12036000,00;12558000,00;2096000,00;;10452000,00;10452000,00;8185000,00;1,03;0,96;1,00;0,17;0,00;0,83;0,83;0,65;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 980;юмрейю, ннн;19,00;2,50;0,00;5,00;0,00;866000,00;866000,00;374000,00;404000,00;87000,00;491000,00;2780000,00;4,95;1,00;1,00;0,43;0,47;0,10;0,57;3,21;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 981;юмрхй-юпр, ннн;19,00;15,50;0,00;5,00;0,00;368000,00;368000,00;-1337000,00;1543000,00;152000,00;1695000,00;1080000,00;2,66;1,00;1,00;-3,63;4,19;0,41;4,61;2,93;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 982;юо онкъ опхднмэъ, ннн;19,00;3,00;0,00;5,00;0,00;565000,00;565000,00;-1182000,00;;1737000,00;1737000,00;;;1,00;1,00;-2,09;0,00;3,07;3,07;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 983;юохйя, ннн;19,00;1,50;0,00;5,00;0,00;46903000,00;47734000,00;34530000,00;557000,00;12617000,00;13174000,00;69575000,00;2,92;0,98;1,00;0,72;0,01;0,26;0,28;1,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 984;юой юпуюмцекэяйне, ннн;19,00;10,50;0,00;5,00;0,00;44602000,00;64812000,00;53046000,00;1466000,00;2559000,00;4025000,00;54316000,00;0,85;0,69;1,00;0,82;0,02;0,04;0,06;0,84;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 985;юой беяеммхи ячфер, ннн;19,00;19,00;0,00;5,00;0,00;334952000,00;465754000,00;149433000,00;23953000,00;109969000,00;133922000,00;93515000,00;0,21;0,72;1,00;0,32;0,05;0,24;0,29;0,20;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 987;юой леврю, ннн;19,00;9,00;0,00;5,00;0,00;16960000,00;55647000,00;-9418000,00;35111000,00;8154000,00;43265000,00;12857000,00;0,28;0,30;1,00;-0,17;0,63;0,15;0,78;0,23;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 988;юой пндхмю, ннн;19,00;14,50;0,00;5,00;0,00;248092000,00;514676000,00;300732000,00;172803000,00;41041000,00;213844000,00;226014000,00;0,43;0,48;1,00;0,58;0,34;0,08;0,42;0,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 989;юой псяюцпнопнл, ннн;19,00;11,50;0,00;5,00;0,00;72471000,00;142182000,00;98076000,00;39038000,00;5058000,00;44096000,00;65263000,00;0,47;0,51;1,00;0,69;0,27;0,04;0,31;0,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 990;юой ярц, ннн;19,00;15,50;0,00;5,00;0,00;927000,00;927000,00;-7407000,00;3511000,00;4813000,00;8324000,00;76000,00;0,09;1,00;1,00;-7,99;3,79;5,19;8,98;0,08;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 991;юо бнярнй юцпн, ннн;19,00;5,00;0,00;5,00;0,00;187557000,00;544036000,00;7265000,00;394355000,00;47843000,00;442198000,00;209962000,00;0,49;0,34;1,00;0,01;0,72;0,09;0,81;0,39;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 992;юопекэ, ннн;19,00;3,50;0,00;5,00;0,00;1083000,00;10757000,00;-4589000,00;13866000,00;1470000,00;15336000,00;252000,00;0,02;0,10;1,00;-0,43;1,29;0,14;1,43;0,02;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 993;юопекэ, ннн рнпцнбши днл;19,00;14,50;0,00;5,00;0,00;184000,00;184000,00;1000,00;50000,00;8000,00;58000,00;2627000,00;9,09;1,00;1,00;0,01;0,27;0,04;0,32;14,28;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 994;юорейю дкъ бюя, ннн;19,00;3,50;0,00;5,00;0,00;1783000,00;2056000,00;1386000,00;166000,00;495000,00;661000,00;9987000,00;5,82;0,87;1,00;0,67;0,08;0,24;0,32;4,86;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 995;юорейю мю дбнпъмяйни, ннн;19,00;25,00;0,00;5,00;0,00;2210000,00;2630000,00;292000,00;;1717000,00;1717000,00;24310000,00;8,98;0,84;1,00;0,11;0,00;0,65;0,65;9,24;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 996;юорейю-212, ннн;19,00;25,00;0,00;5,00;0,00;1972000,00;1972000,00;-1457000,00;2323000,00;757000,00;3080000,00;1053000,00;0,62;1,00;1,00;-0,74;1,18;0,38;1,56;0,53;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
1 997;юорейю-45, лсо;19,00;27,00;0,00;1,00;2,00;1445000,00;1502000,00;-954000,00;;2002000,00;2002000,00;22638000,00;8,91;0,96;1,00;-0,64;0,00;1,33;1,33;15,07;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
1 998;юоу йпхярюкк, ннн;19,00;6,00;0,00;5,00;0,00;146451000,00;200170000,00;76277000,00;;123883000,00;123883000,00;254148000,00;1,44;0,73;1,00;0,38;0,00;0,62;0,62;1,27;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 000;юпаюфяйне пюион;19,00;27,50;0,00;3,00;0,00;14864000,00;30421000,00;-4327000,00;3506000,00;14193000,00;17699000,00;179977000,00;5,69;0,49;1,00;-0,14;0,12;0,47;0,58;5,92;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2 001;юпдлхкй, ннн;19,00;1,50;0,00;5,00;0,00;17980000,00;17980000,00;171000,00;;17799000,00;17799000,00;46257000,00;5,15;1,00;1,00;0,01;0,00;0,99;0,99;2,57;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 002;юпднм, ой;19,00;22,00;0,00;4,00;0,00;22492000,00;65729000,00;23174000,00;13402000,00;3810000,00;17212000,00;80439000,00;1,40;0,34;1,00;0,35;0,20;0,06;0,26;1,22;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2 004;юпхярня пхреик, ннн;19,00;10,00;0,00;5,00;0,00;135975000,00;137622000,00;12375000,00;;125237000,00;125237000,00;614382000,00;5,98;0,99;1,00;0,09;0,00;0,91;0,91;4,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 005;юпхъ, ннн;19,00;4,00;0,00;5,00;0,00;2378000,00;2378000,00;-1444000,00;3766000,00;45000,00;3811000,00;704000,00;0,28;1,00;1,00;-0,61;1,58;0,02;1,60;0,30;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 006;юпнлюьебяйхе опнярнпш, ннн;19,00;5,50;0,00;5,00;0,00;53417000,00;94707000,00;-2157000,00;-52000,00;96906000,00;96854000,00;5955000,00;0,07;0,56;1,00;-0,02;0,00;1,02;1,02;0,06;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 007;юпя, ннн ойт;19,00;28,00;0,00;5,00;0,00;45224000,00;55621000,00;40196000,00;;15106000,00;15106000,00;350740000,00;6,12;0,81;1,00;0,72;0,00;0,27;0,27;6,31;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 008;юпяемюк, ннн;19,00;21,00;0,00;5,00;0,00;1027000,00;1027000,00;955000,00;;62000,00;62000,00;7429000,00;4,39;1,00;1,00;0,93;0,00;0,06;0,06;7,23;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 009;юпр-тюапхйю, ннн;19,00;4,50;0,00;5,00;0,00;614000,00;614000,00;-647000,00;996000,00;255000,00;1251000,00;1901000,00;2,40;1,00;1,00;-1,05;1,62;0,42;2,04;3,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 010;юпрекэ, ннн;19,00;1,50;0,00;5,00;0,00;10000,00;10000,00;;;;;;;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 011;юпрел, ннн;19,00;13,00;0,00;5,00;0,00;9090000,00;9090000,00;6780000,00;;2300000,00;2300000,00;26070000,00;3,40;1,00;1,00;0,75;0,00;0,25;0,25;2,87;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 012;юпрледйнл, ннн;19,00;7,50;0,00;5,00;0,00;2688000,00;2736000,00;-1605000,00;1644000,00;2647000,00;4291000,00;10754000,00;3,60;0,98;1,00;-0,59;0,60;0,97;1,57;3,93;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 013;юпрярсдхн-йл, ннн;19,00;10,00;0,00;5,00;0,00;3465000,00;3465000,00;1041000,00;2375000,00;29000,00;2404000,00;14024000,00;4,20;1,00;1,00;0,30;0,69;0,01;0,69;4,05;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 014;юпэебяйне роо, нюн;19,00;24,50;0,00;0,00;0,00;8304000,00;12744000,00;7975000,00;52000,00;3147000,00;3199000,00;66849000,00;5,30;0,65;1,00;0,63;0,00;0,25;0,25;5,25;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2 015;юяю рпеид, ннн;19,00;7,50;0,00;5,00;0,00;24905000,00;101395000,00;2529000,00;26836000,00;72014000,00;98850000,00;15486000,00;0,16;0,25;1,00;0,02;0,26;0,71;0,97;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 016;юяй-цпсоо, ннн;19,00;16,50;0,00;5,00;0,00;13585000,00;18100000,00;1294000,00;5976000,00;10809000,00;16785000,00;18366000,00;1,13;0,75;1,00;0,07;0,33;0,60;0,93;1,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 017;юярюпрю, ннн;19,00;1,50;0,00;5,00;0,00;2412000,00;3125000,00;-130000,00;;3245000,00;3245000,00;;;0,77;1,00;-0,04;0,00;1,04;1,04;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 018;юярпю онкюпхя, ннн;19,00;20,50;0,00;5,00;0,00;4963000,00;92606000,00;39388000,00;46228000,00;4990000,00;51218000,00;57224000,00;0,61;0,05;1,00;0,43;0,50;0,05;0,55;0,62;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 019;юярпю-рекейнл, ннн;19,00;12,50;0,00;5,00;0,00;8505000,00;9650000,00;2915000,00;3185000,00;3540000,00;6725000,00;86232000,00;5,67;0,88;1,00;0,30;0,33;0,37;0,70;8,94;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 020;юрхя-хмярпслемр, ннн;19,00;12,50;0,00;5,00;0,00;4901000,00;4901000,00;1355000,00;2893000,00;643000,00;3536000,00;13038000,00;3,28;1,00;1,00;0,28;0,59;0,13;0,72;2,66;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 021;юсдхю, ннн;19,00;7,50;0,00;5,00;0,00;74000,00;74000,00;16000,00;;48000,00;48000,00;754000,00;11,34;1,00;1,00;0,22;0,00;0,65;0,65;10,19;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 022;юспю онясдш, ннн;19,00;3,50;0,00;5,00;0,00;165060000,00;181329000,00;14084000,00;27635000,00;139600000,00;167235000,00;353284000,00;1,92;0,91;1,00;0,08;0,15;0,77;0,92;1,95;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 023;ют бюрюм, ннн;19,00;10,50;0,00;5,00;0,00;150216000,00;225359000,00;139450000,00;19264000,00;66635000,00;85899000,00;126634000,00;0,58;0,67;1,00;0,62;0,09;0,30;0,38;0,56;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 024;ют реппю, ннн;19,00;28,50;0,00;5,00;0,00;94833000,00;208376000,00;197707000,00;9586000,00;1073000,00;10659000,00;66572000,00;0,33;0,46;1,00;0,95;0,05;0,01;0,05;0,32;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 025;ют темхйя-м, ннн;19,00;23,50;0,00;5,00;0,00;31325000,00;67551000,00;55708000,00;4606000,00;7227000,00;11833000,00;16726000,00;0,24;0,46;1,00;0,82;0,07;0,11;0,18;0,25;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
